,Climate,Operation,TSV,Clo,Met,Ta,Tr,RH,Vel,PMV,PPD
50645,Cfb,Naturally Ventilated,-1.0,0.86,1.2,26.1,26.1,40.3,0.1,0.8,18.63
50647,Cfb,Naturally Ventilated,0.0,0.69,1.2,24.9,25.3,45.3,0.1,0.38,8.08
50658,Cfb,Naturally Ventilated,3.0,0.95,1.2,26.0,26.3,47.7,0.1,0.95,24.25
50662,Cfb,Naturally Ventilated,1.0,0.57,1.2,25.6,26.6,48.9,0.1,0.51,10.4
50663,Cfb,Naturally Ventilated,2.0,0.78,1.2,26.0,26.8,44.2,0.0,0.87,20.96
50723,Csa,Naturally Ventilated,1.0,0.65,1.0,26.4,27.8,65.8,0.1,0.76,17.28
50724,Csa,Naturally Ventilated,1.0,0.61,1.2,26.6,28.0,64.9,0.1,1.02,27.13
50725,Csa,Naturally Ventilated,1.0,0.63,1.2,26.8,28.4,64.2,0.1,1.13,31.68
50726,Csa,Naturally Ventilated,1.0,0.7,1.2,26.8,28.4,62.4,0.1,1.18,34.51
50727,Csa,Naturally Ventilated,0.0,0.63,1.2,27.0,28.0,62.2,0.1,1.09,29.91
50728,Csa,Naturally Ventilated,-1.0,0.61,1.2,25.9,28.0,63.4,0.1,0.9,22.29
50729,Csa,Naturally Ventilated,2.0,0.61,1.0,26.1,27.9,65.3,0.1,0.66,14.09
50730,Csa,Naturally Ventilated,0.0,0.71,1.2,25.9,28.6,63.9,0.2,0.9,22.29
50731,Csa,Naturally Ventilated,1.0,0.66,1.2,27.9,27.5,66.0,0.1,1.22,36.29
50739,Csb,Naturally Ventilated,0.0,0.71,1.2,24.2,27.9,61.8,0.13,0.67,14.3
50745,Csb,Naturally Ventilated,0.0,0.8,1.3,24.9,27.3,59.3,0.04,1.0,26.14
50747,Csb,Naturally Ventilated,0.0,0.87,1.2,24.5,28.3,62.2,0.12,0.97,24.73
50748,Csb,Naturally Ventilated,-1.0,0.87,1.2,20.8,22.5,61.1,0.04,-0.11,5.25
50749,Csb,Naturally Ventilated,-1.0,0.67,1.3,20.8,22.6,56.9,0.07,-0.27,6.53
